dataset,model,gene,pearson,css
Breast Visium CID44971,novosparc,camk1d,0.1757414207041735,0.3319002809373062
Breast Visium CID44971,novosparc,hm13,0.1744984003631278,0.7278665388903455
Breast Visium CID44971,novosparc,dok3,0.1728622107429547,0.24171915798393748
Breast Visium CID44971,novosparc,carhsp1,0.1721320423841116,0.5942788030239006
Breast Visium CID44971,novosparc,tns1,0.1719992963252758,0.3824571935542686
Breast Visium CID44971,novosparc,itgb7,0.1717076641638215,0.37396227504321633
Breast Visium CID44971,novosparc,cdkn3,0.1683270899780087,0.3356579997177262
Breast Visium CID44971,novosparc,cd99,0.1654432389041862,0.7514351051823224
Breast Visium CID44971,novosparc,fam110d,0.1649473074218549,0.20305757185559567
Breast Visium CID44971,novosparc,snx20,0.1607018160255026,0.3384060773951435
Breast Visium CID44971,novosparc,hmgb1,0.1606256620534569,0.8879372921355702
Breast Visium CID44971,novosparc,cd37,0.1592277256294624,0.5035390164415606
Breast Visium CID44971,novosparc,mgll,0.1584817805491448,0.35624240146559755
Breast Visium CID44971,novosparc,gpx3,0.1570031379962738,0.3375385788944782
Breast Visium CID44971,novosparc,elf3,0.1549525586700623,0.5136310565297708
Breast Visium CID44971,novosparc,foxp1,0.1518271317291126,0.6243141676536784
Breast Visium CID44971,novosparc,cd8a,0.1482981751318653,0.4535489668596941
Breast Visium CID44971,novosparc,clec4a,0.147441048404551,0.22242326583516506
Breast Visium CID44971,novosparc,pnpla2,0.1453178243510728,0.6348002737828865
Breast Visium CID44971,novosparc,zeb2,0.1440911497116572,0.40300641380402574
Breast Visium CID44971,novosparc,itga6,0.1433850879819938,0.4829090646945446
Breast Visium CID44971,novosparc,golgb1,0.1427945695735845,0.6215003941615357
Breast Visium CID44971,novosparc,ptprc,0.1427679037717556,0.564377771924127
Breast Visium CID44971,novosparc,spry1,0.1415074957152449,0.39859253465141115
Breast Visium CID44971,novosparc,btk,0.1411450325106877,0.225102540711102
Breast Visium CID44971,novosparc,tmem59,0.1411280384000488,0.81345337773876
Breast Visium CID44971,novosparc,sdf2l1,0.1386104280503624,0.507687298088161
Breast Visium CID44971,novosparc,ccpg1,0.1383728597622528,0.4590572820600746
Breast Visium CID44971,novosparc,acap1,0.1369812909511185,0.42769430268955705
Breast Visium CID44971,novosparc,npdc1,0.1369343851758656,0.5426308127226103
Breast Visium CID44971,novosparc,sec61a1,0.1338344677502055,0.8131356611775375
Breast Visium CID44971,novosparc,fgr,0.1329379853805121,0.2407528699097314
Breast Visium CID44971,novosparc,gimap4,0.1321036479182137,0.45866299576174313
Breast Visium CID44971,novosparc,filip1l,0.1315295015805277,0.293492305212422
Breast Visium CID44971,novosparc,p2ry6,0.1307161877462845,0.20094382713327577
Breast Visium CID44971,novosparc,notch3,0.1288092120446786,0.5348917345726292
Breast Visium CID44971,novosparc,trbc1,0.1278151612782113,0.534907911016501
Breast Visium CID44971,novosparc,ece1,0.1252186847526234,0.6443476716249912
Breast Visium CID44971,novosparc,olfm1,0.1249562662323012,0.21911703059493864
Breast Visium CID44971,novosparc,siva1,0.1237172565009164,0.6696987624242271
Breast Visium CID44971,novosparc,igf1,0.1235631964379173,0.2813875700784602
Breast Visium CID44971,novosparc,podxl,0.1219142166712565,0.4565383122137022
Breast Visium CID44971,novosparc,dlc1,0.1195820782944007,0.25735651644251933
Breast Visium CID44971,novosparc,smc1a,0.1179386332911651,0.5833061287553728
Breast Visium CID44971,novosparc,syvn1,0.1108439901072981,0.5483621121486022
Breast Visium CID44971,novosparc,snhg18,0.1106533854134074,0.20022364703992357
Breast Visium CID44971,novosparc,mlec,0.1085001879846768,0.6586747082537245
Breast Visium CID44971,novosparc,map3k8,0.1084065284001645,0.38653469787855516
Breast Visium CID44971,novosparc,krt81,0.1056818820738925,0.31796515472131326
Breast Visium CID44971,novosparc,apold1,0.101972320898509,0.2995974775900071
Breast Visium CID44971,novosparc,swap70,0.098285815271755,0.43624574861107557
Breast Visium CID44971,novosparc,b4galt7,0.0968977752592604,0.3861251730040743
Breast Visium CID44971,novosparc,cdc37,0.0963382217224522,0.7427323403904614
Breast Visium CID44971,novosparc,tmem255b,0.0954832023289493,0.16098062813524522
Breast Visium CID44971,novosparc,akap12,0.0930560515554815,0.20644072087442386
Breast Visium CID44971,novosparc,gng2,0.0927954776657293,0.3087017343296938
Breast Visium CID44971,novosparc,ssr4,0.0903794813257976,0.9234481064446617
